,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1153,random-60-11.60-0,CP-RANK-ADD,60,2936.642,0.21,1.4175564422331512,1895.363,85.49745,1800.0,0,0,5645430,12615931,0.6207363092661851
1154,random-90-6.00-0,CP-RANK-ADD,90,0,0,0,0,0.0,11.29,0,0,8874,18421,-1
1155,random-80-7.12-0,CP-RANK-ADD,80,0,0,0,0,0.0,13.42,0,0,12775,26718,-1
1156,random-100-6.00-0,CP-RANK-ADD,100,0,0,0,0,0.0,5.72,0,0,2544,5439,-1
1157,random-200-32.00-0,CP-RANK-ADD,200,10683.55,33.08,3.237208546081574,7581.037,0.0,1800.04,0,0,167990,462896,2.2698581659519883
1158,random-200-60.00-0,CP-RANK-ADD,200,11324.19,11.37,4.7832343826484784,6603.252,0.0,1800.05,0,0,249869,701585,2.8016982048071566
1159,random-200-47.12-0,CP-RANK-ADD,200,11418.89,15.84,4.064339804188056,7234.602,0.0,1800.05,0,0,257683,711549,2.5501708704535573
1160,random-200-20.96-0,CP-RANK-ADD,200,10539.28,71.05,2.300436938285521,8287.471,0.0,1800.05,0,0,199317,502365,1.7088432434209577
1161,random-150-6.00-0,CP-RANK-ADD,150,0,0,0,0,0.0,14.8,0,0,3359,7341,-1
1162,random-60-14.00-0,CP-RANK-ADD,60,2708.367,0.22,1.4420994628352337,1876.443,0.0,1800.01,0,0,6747518,14941133,0.7443882178535854
1163,random-70-10.00-0,CP-RANK-ADD,70,3626.193,0.89,1.0905903250008282,2681.671,115.8105,1800.02,0,0,3704088,8249488,0.6032410474276235
1164,random-70-13.12-0,CP-RANK-ADD,70,3889.047,2.13,1.7249634523480972,2377.882,0.0,1800.01,0,0,3847782,8591977,0.7465721657470159
1165,random-70-16.00-0,CP-RANK-ADD,70,3763.657,3.63,1.847042024216841,2302.198,0.0,1800.01,0,0,3958086,8952768,0.884915788152103
1166,random-80-16.00-0,CP-RANK-ADD,80,4228.732,4.3,2.0654044665763083,2642.47,0.0,1800.02,0,0,2854677,6432741,0.9326115122191189
1167,random-80-10.00-0,CP-RANK-ADD,80,4010.034,1.94,1.1762857733125816,2859.643,228.6747,1800.0,0,0,2585372,5677606,0.5832159153019745
1168,random-80-13.12-0,CP-RANK-ADD,80,4258.191,0.67,1.738632223780021,2816.882,0.0,1800.01,0,0,2509715,5708174,0.8567668875836848
1169,random-90-16.64-0,CP-RANK-ADD,90,4590.175,5.92,1.7672712146156446,3193.726,578.5291,1800.01,0,0,2122211,4766842,0.9901786793265831
1170,random-90-13.00-0,CP-RANK-ADD,90,4483.964,6.69,1.3463246211210345,3594.375,0.0,1800.01,0,0,1642898,3833308,0.899760143520987
